category,ask
婚恋交友,全额退回款项同时退一赔三 相遇寻欢APP欺诈消费，价格欺诈，要求退一赔三，相遇寻欢诱导消费 反映问题对象：厦门墨钧信息技术有限公司（相遇寻欢APP） 投诉问题：虚假广告、诱导消费、价格欺诈、恶意限制取证、违规经营 投诉诉求：全额退还充值金额XX元，并按《消费者权益保护法》第五十五条退一赔三，共计4353元；立即关闭账号所有自动扣钱，注销个人信息 涉诉金额：4553元 事实...
通讯运营商,自古以来我也没听说补卡收费。还要收我卡费10块钱，你说恶心不恶心？手机卡自然损坏，去营业厅补卡，芯片接触不良，中信银行未履行告知义务信用卡乱收费严重 中国联通十几年老用户了。
旅游出行,买飞猪机票返程被拒全额退，私改退订还被扣500多 本人在飞猪平台购买10.29-11.3广州往返曼谷机票，因航司变动导致去程延误2天，本人找飞猪平台要求全额退往返机票被拒，后在本人未同意情况下将我机票全退了并扣除500多
旅游出行,"本人通过去哪儿平台预订该公寓客房，因平台日期疑似自动跳转误订为当晚，原计划订9月25日入住，订错未入住却被标已入住萍乡邂逅公寓拒返还费用求处理 2026年9月16日21时17分。次日上午10时许发现这笔订单被虚假标记为""已入住""，随即联系商家申请退款或改期，遭拒绝；平台介入协调无果。下单后店家未来电确认，本人亦未实际到店。 商家存在以下问题：一是未尽合理提示义务，订单确..."
共享出行,交易流水号：611***，于2026-09-17 05:20，被特约商户【貔貅生活】自动代扣99元，通过云闪付银联无卡支付，貔貅生活无提醒自动扣我99元我没签代扣协议 本人建设银行尾号1360银行卡。 本人没有主动开通貔貅生活会员，没有确认本次支付，没有主动勾选会员代扣协议，属于扫码租借设备时被隐蔽签约免密特约代扣，扣费前无任何提醒。 诉求： 1. 全额退还被扣的99元； ...
家居日用,冇心充电宝有质量问题问题和虚假宣传的情况 我于2026.1.28购买2w毫安的充电宝，9月发现掉电迅速，8月出现电流声、发烫反馈卖家，仅能充ipad+手机2次，宣传能充至少4次电，均非充满电，要求售后处理。商家仅肯换货，诉求退货退回款项。充电宝质量问题不应简单看待，这么多爆炸着火事件，明显的质量及设计问题，换货不敢继续使用，诉求：退货退款，总是不换货（部分退款为商...
婚恋交友,特此实名投诉举报维权，侵害消费者合法权益，伊对APP是套路相亲平台托诱导充值亲密度白搭 伊对APP存在虚假宣传、恶意诱导消费、自动无故扣费、霸王条款反复拒不退回款项、平台监管缺失等多项违规问题。平台设置不合理规则，强制用户充值会员、刷礼物、提升亲密度，声称亲密度...该APP主打真实相亲交友、免费匹配交友、解锁亲密关系即可互通联系方式等宣传噱头，误导用户充值消费。
教育,要求全额退赔 在抖音偶然刷短视频看到梨花声音研修院的宣传，梨花声音研修院虚假承诺配音接单赚钱，打着免费公益课程的旗号，诱导老人借钱报课，广告说得十分诱人，说不管年纪多大，有没有基础，都可以学习配音，学会之后在家就能接单干活，轻轻松松赚到钱，用来补贴养老生活。上课之后，老师主动加上我...我以为这是真心帮助普通人的好机会，没有半点防备，就报名参加了这个所谓的免费体验课。
金融支付,现在短信里说要上报超期，我也没接到有什么其他通知还款入口，自行对照日期核实了下应该是乐享借里的借款最后一期200多吧，乐享借还款入口没法使用本溪银行请尽快联系我解决 本人今天收到一条本溪银行逾期短信，但是从上个月就一直无法显示，应该跟桔多多有关系的，立刻联系我本人，撤销征信上报，不是本人原因造成的逾期！而且我之前主动还一直有如下界面截图显示，根本...
医疗健康,在蕾特恩专业祛痘盐田被诱导办理5800元安心付预付套餐，夸大皮肤问题后办理祛痘套餐被坑 本人于2026年9月6日。到店后商家夸大皮肤问题进行营销，在我表明资金不足的情况下，仍劝说我开通安心付分期。套餐我...商家曾承诺一套价值一千余元的产品为办卡赠品，事后却单方面想把赠品折算扣费。签约前，商家没有醒目告知提前退卡需要收取剩余金额15%的违约金。
旅游出行,显示订单已完成无法取消，未乘车但收费，花小猪打车未乘车但收费 2026年10月18号在花小猪平台打顺风车 需要先支付车费 但我并没有实际乘车，我要申请退款
金融支付,还提前划走我的钱，提前划走钱，还款日还在10月15号，今天才9月15号，还有利息都已经把我算进去了，那我要求把利息也给我退回来，要求退回提前划走我的钱花呗还款日10月15日未到支付宝提前划钱算息诉求退款 我还款日是10月号15还花呗，今天是9月18号 支付宝提前划走58块钱，而且我逾期都已经还完了，没有逾期，他提前划走我的钱。
通讯运营商,去营业厅补卡，中信银行未履行告知义务信用卡乱收费严重 中国联通十几年老用户了，手机卡自然损坏，芯片接触不良。 自古以来我也没听说补卡收费。还要收我卡费10块钱，你说恶心不恶心？
电商平台,咖租机审核中签约。支付宝上他已经把那个签约签上了 我没收到那个东西，想退款，客服不接电话 在他们平台下单了一架无人机 显示在审核 但是那支付宝上他已经把那个但是呢，感觉很不划算现在想退款，他让我去付款600多 然后我看了那个价格，因为有50的押金 客服电话打不通客户电话打不通，在线信息不回。我的诉求是他们...我的诉求是他们取消那个。我的诉求。
教育,如果死记硬背的话不太行，添加完成之后这个选岗老师就让做Vip班的题，就开始推荐高价格的课程，顿时感觉被骗了，告诉我做这种类型的题是有技巧的，就是先...企业人员并没有明确告知不能退费，与企业售后协商说是“不能退费”字眼出现在图片里 我于2025年6月8号在抖音看见他们的宣传视频，从视频引导让微信添加这个机构的老师，购买了智考教育的这个399元的课程，购买之后让添加另一位老师说是选岗规划老师。
影音娱乐,要求退还划扣并改善服务，夸克APP网盘长期莫名扣款盼退钱优化服务 夸克网盘于2025年12月持续出现莫名扣费，一直到2026年被发现持续扣款
电商平台,发票中未按照厂家要求备注产品序列号号，在要求更改后，更改后的发票，发票备注栏填写的不是真实产品序列号，依法依规开具符合产品要求带有正确序列号的发票 本人在京东购买的苹果笔记本电脑，而是一个内部条码号（比真实 SN 多了一个 S。 这造成了苹果官方反复无法认定我的发票和产品的一致性，使保修无法正常显示为完整的一年。且备注的是条码号不是产品序列号）。 现在...
共享出行,），司机和平台之间是一个合... 无奈只能在黑猫平台投诉，司机端app不能查看具体订单单号，只能查看订单记录，在黑猫平台投诉的话一般需要具体订单单号，致电哈啰客服，哈啰客服说拒绝提供（可能怕投诉？并且多次致电客服，平台克扣司机费用，客服不予理睬，并且拒绝提供具体单号 2026年.09.07一个顺风车订单，订单完成后平台私自克扣司机费用，并且态度傲慢。
房产家装,必须为我提供保洁服务租自如寓说好每月两次公区保洁没做到 我于2025年2月6日在自如上租房租龙泉总部经济港自如寓至今，每个月还收取服务费，合同上白纸黑字写明每个月两次公区卫生的日常保洁，但是并未履行每个月公区保洁的服务。
母婴食品,小白熊官方旗舰店母婴净饮机三次换新持续性故障 2025年3月12日下单收到货 2025年4月6日出水声音越来越大，售后客服让断电一小时，超过最大容量机器还在制水，且水壶最大容量1500ml，问题并未解决，客服提出换货（第一次换货） 2026年4月23日出水量不准确，调60ml 只出水40ml ，后续没有追究 2025年7月31日出水量不准，客服提出买厨房秤秤水量提供视频，8月20号提供给客服视...
家居日用,便申请了退货返还费用，商家以使用为由一直不给退 我于2026年9月9日购买的飞利浦挂烫机家用增压5050小型熨烫一体机，收到后发现不适合，买的飞利浦挂烫机蒸汽不均，蒸汽不均匀，商家已货物使用了不给退，我想问一下，家电类我不用我咋知道好不好用，肉眼能看出来？你蒸汽机，我不加水我怎么知道蒸汽有没有问题，我商品也没有损坏，以我使用机器了拒绝售后？
共享出行,要求调取机柜后台设备日志，撤销149元买断扣费，按实际租借时长收取租赁费，多扣款项...平台机柜识别故障没有生成归还记录，扣取149元买断费。平台要求消费者提供归还现场照片作为举证条件，该证据客观一直无法正常获取，归还记录属于店家后台数据。乱扣费 机器出问题 还要让我拍照 我在异地 怎么搞 本人使用冲电狼共享充电宝，充电宝已经归还机柜，本人现已异地，充电宝不在手中。
物流快递,甚至没有退押界面，押金始终不退 我于2026年6月26日加入货拉拉，于2026年7月17日退出解绑车辆信息，至今保证金仍压在APP内无法正常提现，账号从来没有违规和投诉举报
游戏,5173买的游戏账号被找回，现在联系不上对方平台工作人员，没跟进处理卖家还找不到平台，没有对找回卖家作出任何处罚，求给辅助证据 我于20年购买游戏账号被找回，给我辅助证据
游戏,充值到哪里去了，结果它默认充值到微信账号，要求帮我转移到qq区内或者退款 微信号 qq号都是本人实名账号因为我没有微信游戏账号我以为默认充值到qq区内了，显示充值成功，腾讯充值默认到错区本人无微信游戏号要求返还费用或转QQ区 我在2026年8月16日在微信上的腾讯充值里充值了780三角券，请问我没有微信注册账号哪来的充值成功？
影音娱乐,和我说开通vip可以使用加速播放，欺骗消费者拒绝退钱霸王条款 在夸克app里面使用浏览器看视频，开通后发现还要svip+，属实欺骗消费者，而且我是开通视频怎么变成开通夸克网盘会员上面了，几分钟后我就去支付宝申请退款，夸克平台客服敷衍了事拒绝退款，严重影响到我的生活，要求黑猫官方严肃解决，谢谢
影音娱乐,导致我白跑一趟，产生时间和出行成本。我按照要求完成预约后前往门店，商家拒绝提供该团购对应的服务，要求补差价。港式SPA团购可预约到店遭拒抖音电商需监管核查 本人在抖音购买清屿间采耳·按摩·SPA团购，项目：港式瑜伽芊指按摩SPA70分钟，实付284元，定单页面写明全周可用，可提前预约。 商家上架团购却不履约，平台没有尽到监管责任。平台不监管。现提出诉求： 1...
教育,网上宣传的天花乱坠，没提前说交了准考证才有，获得上岸礼的前提是侵犯个人隐私？智博售后服务 没有上岸礼，实际上必须要前提条件才能拿到，准考证是考生的隐私。
医疗健康,痘院长夸大宣传非法行医 我于2025年3月27日下午五点多在南京市雨花台区长虹路222号2栋214室痘院长清理皮肤美团团的一百四十多的券，做脸的人员伙同另一个人员陪我聊天聊家常哄骗我买下一个6800元的套盒直接拿着付款码让我躺在那...，店员用优惠皮肤问题各种诱导让我退了这张券买了个1422元的后续去做了几次皮肤开始断断续续冒痘但是暂时没那么严重
婚恋交友,根据网络游戏随机抽取道具相关监管规定，实际抽奖结果和公示概率严重不符，平台公示概率必须真实...本人多次充值付费参与抽奖。向平台售后客服咨询核验概率时，客服仅统一回复“礼物随机”，拒绝提供概率有效性的相关证明，回避概率真实性问题。玩陌陌抽奖结果和公示概率不符求核查 本人使用陌陌APP，该软件内存在付费虚拟礼物抽奖功能，页面公示各类奖品中奖概率。
物流快递,最后直接退回，老家从彬县邮寄西安的一箱苹果，圆通寄西安苹果延误会退回未通知我诉求赔付七十五元 我于2026年9月14日，平台延误配送，在途中一个网点一直放着不送，全程没有联系我，我要求赔付75元，邮费和箱子固定费用15元，一箱苹果大果60元赔付，合计75
数码3C,QR Scanner App诱导弹窗，误触自动订阅扣费，苹果平台拒退费用 投诉举报事实： 本人扫描正规电子手表配套二维码，目的是下载手表对应的官方App。我误以为必须安装该软件，才能扫码下载手表App，于是下载。安卓手机扫描该二维码，可正常跳转下载正确App；但使用苹果iPhone扫描同一个二维码，却自动跳转引导下载QR Scanner扫码软件。 软件刚打开，还未进入App内部，在介绍页面就弹出诱导付...
本地生活,月卡前1小时免费，已经检测到单车长时间静止，就是不在60分钟内结束计费，短信提醒也是在计费后很久才发，非得过了60分钟产生额外费用才结束计费。美团单车不合理设计扣费 忘关锁收费不能申诉。
服饰鞋包,9月13日取回来的9月14日早上8点多穿上的10点左右发现我里面的白色衣服和白色裤子被染了，啄木鸟 我于2026年9月9日下单买的衣服一圈粉色，我和商家沟通，它就不认，就说不会染色，我现在要求它赔付我里面一套衣服，因为衣服上的颜色洗不掉了
婚恋交友,松果倾诉 我的倾诉剩余款项平台变成虚拟币，拒不退回款项，使用不了。
